ProductName;SpendEUR;Quantity;UOM;VendorName;VendorCity;VendorCountry;CategoryL1;CategoryL2;CO2 per kg;C02eq_Kg (X);CO2 per EUR;CO2eq_kg (Y);Total CO2eq kg
PROCESSED PORK ZMDZXA.;8722,306104;16774,59052;KG;Tulip Food Company GmbH;Hamburg;DE;Raw Materials;Meat;0,012900485;216,4003523;4,355986986;37994,25188;38210,65223
MEAT / / STBXKY;9725,783817;1417,41053;KG;Tulip Food Company GmbH;Hamburg;DE;Raw Materials;Meat;0,012900485;18,2852832;4,355986986;42365,38774;42383,67302
MEAT / / TAFXJE;14328,7972;1650,033457;KG;Tulip Food Company GmbH;Hamburg;DE;Raw Materials;Meat;0,012900485;21,28623175;4,355986986;62416,05411;62437,34034
MEAT / / TAFXJE;14645,80598;1686,538622;KG;Tulip Food Company GmbH;Hamburg;DE;Raw Materials;Meat;0,012900485;21,75716608;4,355986986;63796,94026;63818,69743
MEAT / / TAFXJE;16003,4781;1842,881432;KG;Tulip Food Company GmbH;Hamburg;DE;Raw Materials;Meat;0,012900485;23,77406415;4,355986986;69710,94234;69734,7164
MEAT / / TAFXJE;16003,4781;1842,881432;KG;Tulip Food Company GmbH;Hamburg;DE;Raw Materials;Meat;0,012900485;23,77406415;4,355986986;69710,94234;69734,7164
MEAT / / TAFXJE;16403,56505;1888,953467;KG;Tulip Food Company GmbH;Hamburg;DE;Raw Materials;Meat;0,012900485;24,36841575;4,355986986;71453,7159;71478,08431
MEAT / / SJNSSI;19756,2915;2193,102068;KG;Tulip Food Company GmbH;Hamburg;DE;Raw Materials;Meat;0,012900485;28,2920802;4,355986986;86058,14867;86086,44075
MEAT / / SJNSSI;19756,2915;2193,102068;KG;Tulip Food Company GmbH;Hamburg;DE;Raw Materials;Meat;0,012900485;28,2920802;4,355986986;86058,14867;86086,44075
MEAT / / SJNSSI;19756,2915;2193,102068;KG;Tulip Food Company GmbH;Hamburg;DE;Raw Materials;Meat;0,012900485;28,2920802;4,355986986;86058,14867;86086,44075
MEAT / / SXYHZH;20138,5461;3223,602106;KG;Tulip Food Company GmbH;Hamburg;DE;Raw Materials;Meat;0,012900485;41,58603041;4,355986986;87723,24473;87764,83076
MEAT / / SJNSSI;20474,7021;2272,851235;KG;Tulip Food Company GmbH;Hamburg;DE;Raw Materials;Meat;0,012900485;29,32088312;4,355986986;89187,53589;89216,85678
MEAT / / SJNSSI;20474,7021;2272,851235;KG;Tulip Food Company GmbH;Hamburg;DE;Raw Materials;Meat;0,012900485;29,32088312;4,355986986;89187,53589;89216,85678
MEAT / / SJNSSI;20901,25839;2320,202302;KG;Tulip Food Company GmbH;Hamburg;DE;Raw Materials;Meat;0,012900485;29,93173485;4,355986986;91045,60956;91075,54129
MEAT / / SJNSSI;21242,50343;2358,083156;KG;Tulip Food Company GmbH;Hamburg;DE;Raw Materials;Meat;0,012900485;30,42041623;4,355986986;92532,06849;92562,48891
MEAT / / SJNSSI;22884,37099;2540,343229;KG;Tulip Food Company GmbH;Hamburg;DE;Raw Materials;Meat;0,012900485;32,77165956;4,355986986;99684,02221;99716,79387
MEAT / / STBXKY;23442,45709;3416,442947;KG;Tulip Food Company GmbH;Hamburg;DE;Raw Materials;Meat;0,012900485;44,07377078;4,355986986;102115,038;102159,1118
MEAT / / STBXKY;26165,81433;3813,337975;KG;Tulip Food Company GmbH;Hamburg;DE;Raw Materials;Meat;0,012900485;49,19390911;4,355986986;113977,9467;114027,1406
MEAT / / STBXKY;26634,82421;3881,690259;KG;Tulip Food Company GmbH;Hamburg;DE;Raw Materials;Meat;0,012900485;50,07568672;4,355986986;116020,9476;116071,0233
MEAT / / SJNSSI;27299,6028;3030,468313;KG;Tulip Food Company GmbH;Hamburg;DE;Raw Materials;Meat;0,012900485;39,09451082;4,355986986;118916,7145;118955,809
MEAT / / STBXKY;29769,78498;4338,571319;KG;Tulip Food Company GmbH;Hamburg;DE;Raw Materials;Meat;0,012900485;55,96967394;4,355986986;129676,796;129732,7656
BEEF SLICED TANEWBA.;31483,6879;2098,912527;KG;Tulip Food Company GmbH;Hamburg;DE;Raw Materials;Meat;0,012900485;27,07698944;4,355986986;137142,5348;137169,6118
